league,event_id,polymarket_event_id,event_date,home_team,away_team,updated_at,1x2_home,1x2_draw,1x2_away,btts_yes,btts_no,over_15,under_15,over_25,under_25,over_35,under_35,over_45,under_45,exact_scores_json
uel_2026,587862,854618,2026-08-27 18:30:00,RSC Anderlecht,Kairat Almaty,2026-08-26 05:27:15,0.665,0.2,0.12,0.5,0.5,0.47,0.53,0.525,0.475,0.325,0.675,0.16,0.84,"{""Any Other Score"": 0.14, ""RSC Anderlecht 0 - 0 Qairat FK"": 0.06, ""RSC Anderlecht 0 - 1 Qairat FK"": 0.045, ""RSC Anderlecht 0 - 2 Qairat FK"": 0.0165, ""RSC Anderlecht 0 - 3 Qairat FK"": 0.023, ""RSC Anderlecht 1 - 0 Qairat FK"": 0.105, ""RSC Anderlecht 1 - 1 Qairat FK"": 0.09, ""RSC Anderlecht 1 - 2 Qairat FK"": 0.0375, ""RSC Anderlecht 1 - 3 Qairat FK"": 0.011, ""RSC Anderlecht 2 - 0 Qairat FK"": 0.13, ""RSC Anderlecht 2 - 1 Qairat FK"": 0.09, ""RSC Anderlecht 2 - 2 Qairat FK"": 0.041, ""RSC Anderlecht 2 - 3 Qairat FK"": 0.0115, ""RSC Anderlecht 3 - 0 Qairat FK"": 0.09, ""RSC Anderlecht 3 - 1 Qairat FK"": 0.07, ""RSC Anderlecht 3 - 2 Qairat FK"": 0.0225, ""RSC Anderlecht 3 - 3 Qairat FK"": 0.0105}"
uel_2026,587861,904027,2026-08-27 18:30:00,Ferencváros TC,Trabzonspor,2026-08-26 05:27:15,0.3,0.275,0.42,0.5,0.5,0.495,0.505,0.51,0.49,0.28,0.72,0.135,0.865,"{""Any Other Score"": 0.17, ""Ferencvárosi TC 0 - 0 Trabzonspor"": 0.085, ""Ferencvárosi TC 0 - 1 Trabzonspor"": 0.095, ""Ferencvárosi TC 0 - 2 Trabzonspor"": 0.07, ""Ferencvárosi TC 0 - 3 Trabzonspor"": 0.034, ""Ferencvárosi TC 1 - 0 Trabzonspor"": 0.085, ""Ferencvárosi TC 1 - 1 Trabzonspor"": 0.125, ""Ferencvárosi TC 1 - 2 Trabzonspor"": 0.085, ""Ferencvárosi TC 1 - 3 Trabzonspor"": 0.0425, ""Ferencvárosi TC 2 - 0 Trabzonspor"": 0.05, ""Ferencvárosi TC 2 - 1 Trabzonspor"": 0.075, ""Ferencvárosi TC 2 - 2 Trabzonspor"": 0.055, ""Ferencvárosi TC 2 - 3 Trabzonspor"": 0.026, ""Ferencvárosi TC 3 - 0 Trabzonspor"": 0.019, ""Ferencvárosi TC 3 - 1 Trabzonspor"": 0.0305, ""Ferencvárosi TC 3 - 2 Trabzonspor"": 0.0205, ""Ferencvárosi TC 3 - 3 Trabzonspor"": 0.0125}"
uel_2026,587860,854621,2026-08-27 18:00:00,FC Thun,Lech Poznań,2026-08-26 05:27:15,0.345,0.235,0.425,0.515,0.485,0.495,0.505,0.495,0.505,0.385,0.615,0.21,0.79,"{""Any Other Score"": 0.265, ""FC Thun 0 - 0 KKS Lech Poznań"": 0.05, ""FC Thun 0 - 1 KKS Lech Poznań"": 0.07, ""FC Thun 0 - 2 KKS Lech Poznań"": 0.06, ""FC Thun 0 - 3 KKS Lech Poznań"": 0.0345, ""FC Thun 1 - 0 KKS Lech Poznań"": 0.06, ""FC Thun 1 - 1 KKS Lech Poznań"": 0.105, ""FC Thun 1 - 2 KKS Lech Poznań"": 0.09, ""FC Thun 1 - 3 KKS Lech Poznań"": 0.055, ""FC Thun 2 - 0 KKS Lech Poznań"": 0.05, ""FC Thun 2 - 1 KKS Lech Poznań"": 0.075, ""FC Thun 2 - 2 KKS Lech Poznań"": 0.06, ""FC Thun 2 - 3 KKS Lech Poznań"": 0.0365, ""FC Thun 3 - 0 KKS Lech Poznań"": 0.0235, ""FC Thun 3 - 1 KKS Lech Poznań"": 0.042, ""FC Thun 3 - 2 KKS Lech Poznań"": 0.0325, ""FC Thun 3 - 3 KKS Lech Poznań"": 0.016}"
uel_2026,587859,905175,2026-08-27 18:00:00,CSKA Sofia,OFI Crete,2026-08-26 05:27:14,0.68,0.205,0.125,0.5,0.5,0.485,0.515,0.505,0.495,0.305,0.695,0.145,0.855,"{""Any Other Score"": 0.115, ""PFK CSKA Sofia 0 - 0 OFI"": 0.07, ""PFK CSKA Sofia 0 - 1 OFI"": 0.04, ""PFK CSKA Sofia 0 - 2 OFI"": 0.0155, ""PFK CSKA Sofia 0 - 3 OFI"": 0.019, ""PFK CSKA Sofia 1 - 0 OFI"": 0.125, ""PFK CSKA Sofia 1 - 1 OFI"": 0.09, ""PFK CSKA Sofia 1 - 2 OFI"": 0.034, ""PFK CSKA Sofia 1 - 3 OFI"": 0.0105, ""PFK CSKA Sofia 2 - 0 OFI"": 0.135, ""PFK CSKA Sofia 2 - 1 OFI"": 0.095, ""PFK CSKA Sofia 2 - 2 OFI"": 0.0385, ""PFK CSKA Sofia 2 - 3 OFI"": 0.011, ""PFK CSKA Sofia 3 - 0 OFI"": 0.085, ""PFK CSKA Sofia 3 - 1 OFI"": 0.065, ""PFK CSKA Sofia 3 - 2 OFI"": 0.024, ""PFK CSKA Sofia 3 - 3 OFI"": 0.0105}"
uel_2026,587858,904634,2026-08-27 18:00:00,AGF,Benfica,2026-08-26 05:27:15,0.155,0.195,0.655,0.5,0.5,0.515,0.485,0.515,0.485,0.395,0.605,0.215,0.785,"{""Any Other Score"": 0.155, ""Aarhus GF 0 - 0 Sport Lisboa e Benfica"": 0.04, ""Aarhus GF 0 - 1 Sport Lisboa e Benfica"": 0.09, ""Aarhus GF 0 - 2 Sport Lisboa e Benfica"": 0.1, ""Aarhus GF 0 - 3 Sport Lisboa e Benfica"": 0.075, ""Aarhus GF 1 - 0 Sport Lisboa e Benfica"": 0.045, ""Aarhus GF 1 - 1 Sport Lisboa e Benfica"": 0.085, ""Aarhus GF 1 - 2 Sport Lisboa e Benfica"": 0.1, ""Aarhus GF 1 - 3 Sport Lisboa e Benfica"": 0.07, ""Aarhus GF 2 - 0 Sport Lisboa e Benfica"": 0.021, ""Aarhus GF 2 - 1 Sport Lisboa e Benfica"": 0.05, ""Aarhus GF 2 - 2 Sport Lisboa e Benfica"": 0.05, ""Aarhus GF 2 - 3 Sport Lisboa e Benfica"": 0.0345, ""Aarhus GF 3 - 0 Sport Lisboa e Benfica"": 0.0105, ""Aarhus GF 3 - 1 Sport Lisboa e Benfica"": 0.0155, ""Aarhus GF 3 - 2 Sport Lisboa e Benfica"": 0.016, ""Aarhus GF 3 - 3 Sport Lisboa e Benfica"": 0.013}"
uel_2026,587857,866559,2026-08-27 17:00:00,Lillestrøm SK,KF Egnatia,2026-08-26 05:27:15,0.645,0.215,0.135,0.5,0.5,0.5,0.5,0.5,0.5,0.31,0.69,0.15,0.85,"{""Any Other Score"": 0.125, ""Lillestrøm SK 0 - 0 KF Egnatia Rrogozhinë"": 0.065, ""Lillestrøm SK 0 - 1 KF Egnatia Rrogozhinë"": 0.045, ""Lillestrøm SK 0 - 2 KF Egnatia Rrogozhinë"": 0.0165, ""Lillestrøm SK 0 - 3 KF Egnatia Rrogozhinë"": 0.0215, ""Lillestrøm SK 1 - 0 KF Egnatia Rrogozhinë"": 0.12, ""Lillestrøm SK 1 - 1 KF Egnatia Rrogozhinë"": 0.1, ""Lillestrøm SK 1 - 2 KF Egnatia Rrogozhinë"": 0.038, ""Lillestrøm SK 1 - 3 KF Egnatia Rrogozhinë"": 0.011, ""Lillestrøm SK 2 - 0 KF Egnatia Rrogozhinë"": 0.125, ""Lillestrøm SK 2 - 1 KF Egnatia Rrogozhinë"": 0.105, ""Lillestrøm SK 2 - 2 KF Egnatia Rrogozhinë"": 0.04, ""Lillestrøm SK 2 - 3 KF Egnatia Rrogozhinë"": 0.012, ""Lillestrøm SK 3 - 0 KF Egnatia Rrogozhinë"": 0.08, ""Lillestrøm SK 3 - 1 KF Egnatia Rrogozhinë"": 0.065, ""Lillestrøm SK 3 - 2 KF Egnatia Rrogozhinë"": 0.026, ""Lillestrøm SK 3 - 3 KF Egnatia Rrogozhinë"": 0.011}"
uel_2026,587856,866557,2026-08-27 17:00:00,Omonia Nicosia,Sint-Truidense VV,2026-08-26 05:27:15,0.49,0.27,0.24,0.5,0.5,0.5,0.5,0.5,0.5,0.235,0.765,0.085,0.915,"{""Any Other Score"": 0.085, ""AS Omónoia Leukosías 0 - 0 K. Sint-Truidense VV"": 0.09, ""AS Omónoia Leukosías 0 - 1 K. Sint-Truidense VV"": 0.08, ""AS Omónoia Leukosías 0 - 2 K. Sint-Truidense VV"": 0.04, ""AS Omónoia Leukosías 0 - 3 K. Sint-Truidense VV"": 0.013, ""AS Omónoia Leukosías 1 - 0 K. Sint-Truidense VV"": 0.13, ""AS Omónoia Leukosías 1 - 1 K. Sint-Truidense VV"": 0.13, ""AS Omónoia Leukosías 1 - 2 K. Sint-Truidense VV"": 0.06, ""AS Omónoia Leukosías 1 - 3 K. Sint-Truidense VV"": 0.018, ""AS Omónoia Leukosías 2 - 0 K. Sint-Truidense VV"": 0.09, ""AS Omónoia Leukosías 2 - 1 K. Sint-Truidense VV"": 0.095, ""AS Omónoia Leukosías 2 - 2 K. Sint-Truidense VV"": 0.045, ""AS Omónoia Leukosías 2 - 3 K. Sint-Truidense VV"": 0.0145, ""AS Omónoia Leukosías 3 - 0 K. Sint-Truidense VV"": 0.05, ""AS Omónoia Leukosías 3 - 1 K. Sint-Truidense VV"": 0.05, ""AS Omónoia Leukosías 3 - 2 K. Sint-Truidense VV"": 0.0205, ""AS Omónoia Leukosías 3 - 3 K. Sint-Truidense VV"": 0.0105}"
uel_2026,587855,904028,2026-08-27 17:00:00,Red Bull Salzburg,Mjällby AIF,2026-08-26 05:27:15,0.79,0.145,0.065,0.5,0.5,0.485,0.515,0.5,0.5,0.415,0.585,0.23,0.77,"{""Any Other Score"": 0.19, ""FC Red Bull Salzburg 0 - 0 Mjällby AIF"": 0.0365, ""FC Red Bull Salzburg 0 - 1 Mjällby AIF"": 0.023, ""FC Red Bull Salzburg 0 - 2 Mjällby AIF"": 0.0105, ""FC Red Bull Salzburg 0 - 3 Mjällby AIF"": 0.0245, ""FC Red Bull Salzburg 1 - 0 Mjällby AIF"": 0.1, ""FC Red Bull Salzburg 1 - 1 Mjällby AIF"": 0.065, ""FC Red Bull Salzburg 1 - 2 Mjällby AIF"": 0.021, ""FC Red Bull Salzburg 1 - 3 Mjällby AIF"": 0.0245, ""FC Red Bull Salzburg 2 - 0 Mjällby AIF"": 0.125, ""FC Red Bull Salzburg 2 - 1 Mjällby AIF"": 0.095, ""FC Red Bull Salzburg 2 - 2 Mjällby AIF"": 0.0355, ""FC Red Bull Salzburg 2 - 3 Mjällby AIF"": 0.0105, ""FC Red Bull Salzburg 3 - 0 Mjällby AIF"": 0.11, ""FC Red Bull Salzburg 3 - 1 Mjällby AIF"": 0.075, ""FC Red Bull Salzburg 3 - 2 Mjällby AIF"": 0.025, ""FC Red Bull Salzburg 3 - 3 Mjällby AIF"": 0.0105}"
uel_2026,587854,866556,2026-08-27 17:00:00,FK Kauno Žalgiris,Beşiktaş JK,2026-08-26 05:27:15,0.105,0.205,0.695,0.5,0.5,0.495,0.505,0.51,0.49,0.29,0.71,0.14,0.86,"{""Any Other Score"": 0.23, ""FK Kauno Žalgiris 0 - 0 Beşiktaş JK"": 0.07, ""FK Kauno Žalgiris 0 - 1 Beşiktaş JK"": 0.14, ""FK Kauno Žalgiris 0 - 2 Beşiktaş JK"": 0.145, ""FK Kauno Žalgiris 0 - 3 Beşiktaş JK"": 0.095, ""FK Kauno Žalgiris 1 - 0 Beşiktaş JK"": 0.04, ""FK Kauno Žalgiris 1 - 1 Beşiktaş JK"": 0.085, ""FK Kauno Žalgiris 1 - 2 Beşiktaş JK"": 0.085, ""FK Kauno Žalgiris 1 - 3 Beşiktaş JK"": 0.06, ""FK Kauno Žalgiris 2 - 0 Beşiktaş JK"": 0.013, ""FK Kauno Žalgiris 2 - 1 Beşiktaş JK"": 0.026, ""FK Kauno Žalgiris 2 - 2 Beşiktaş JK"": 0.031, ""FK Kauno Žalgiris 2 - 3 Beşiktaş JK"": 0.0195, ""FK Kauno Žalgiris 3 - 0 Beşiktaş JK"": 0.016, ""FK Kauno Žalgiris 3 - 1 Beşiktaş JK"": 0.0195, ""FK Kauno Žalgiris 3 - 2 Beşiktaş JK"": 0.0105, ""FK Kauno Žalgiris 3 - 3 Beşiktaş JK"": 0.025}"
uel_2026,587712,866555,2026-08-27 17:00:00,FC Viktoria Plzeň,FK Crvena Zvezda,2026-08-26 05:27:15,0.495,0.245,0.265,0.515,0.485,0.465,0.535,0.515,0.485,0.375,0.625,0.205,0.795,"{""Any Other Score"": 0.13, ""FC Viktoria Plzeň 0 - 0 FK Crvena zvezda"": 0.052, ""FC Viktoria Plzeň 0 - 1 FK Crvena zvezda"": 0.0555, ""FC Viktoria Plzeň 0 - 2 FK Crvena zvezda"": 0.0345, ""FC Viktoria Plzeň 0 - 3 FK Crvena zvezda"": 0.016, ""FC Viktoria Plzeň 1 - 0 FK Crvena zvezda"": 0.08, ""FC Viktoria Plzeň 1 - 1 FK Crvena zvezda"": 0.115, ""FC Viktoria Plzeň 1 - 2 FK Crvena zvezda"": 0.07, ""FC Viktoria Plzeň 1 - 3 FK Crvena zvezda"": 0.0285, ""FC Viktoria Plzeň 2 - 0 FK Crvena zvezda"": 0.07, ""FC Viktoria Plzeň 2 - 1 FK Crvena zvezda"": 0.1, ""FC Viktoria Plzeň 2 - 2 FK Crvena zvezda"": 0.062, ""FC Viktoria Plzeň 2 - 3 FK Crvena zvezda"": 0.0255, ""FC Viktoria Plzeň 3 - 0 FK Crvena zvezda"": 0.0435, ""FC Viktoria Plzeň 3 - 1 FK Crvena zvezda"": 0.0595, ""FC Viktoria Plzeň 3 - 2 FK Crvena zvezda"": 0.039, ""FC Viktoria Plzeň 3 - 3 FK Crvena zvezda"": 0.016}"
